CROP_TYPE,SOIL_TYPE,REGION,Humidity,soilmiosture,Temperature,WEATHER_CONDITION,WATER_REQUIREMENT
BANANA,DRY,HUMID,83.83625819,176,30.31,WINDY,7.6
BANANA,DRY,HUMID,84.79352417,176,30.28,RAINY,0.3
BANANA,DRY,HUMID,83.47021081,176,30.24,NORMAL,7.68
BANANA,DRY,HUMID,82.45432595,176,30.2,SUNNY,8.18
BANANA,DRY,HUMID,82.1235421,175,30.17,WINDY,8.6
BANANA,DRY,HUMID,80.2389895,175,30.13,RAINY,0.8
BANANA,DRY,HUMID,82.20802629,176,30.12,NORMAL,8.65
BANANA,DRY,HUMID,83.51827127,174,30.08,SUNNY,10.15
BANANA,DRY,HUMID,83.77345559,175,30.05,WINDY,9.65
BANANA,DRY,HUMID,80.72886384,174,30.01,RAINY,0.65
BANANA,HUMID,DESERT,83.29114712,176,29.98,NORMAL,6.695
BANANA,HUMID,DESERT,82.74835604,175,29.94,SUNNY,8.2
BANANA,HUMID,DESERT,80.33502926,174,29.91,WINDY,7.7
BANANA,HUMID,DESERT,82.11124033,175,29.88,RAINY,0.6
BANANA,HUMID,DESERT,80.28597873,175,29.84,NORMAL,7.695
BANANA,HUMID,DESERT,80.56887849,175,29.81,SUNNY,9.2
BANANA,HUMID,DESERT,83.891805,174,29.78,WINDY,8.7
BANANA,HUMID,DESERT,82.1706881,176,29.75,RAINY,0.8
BANANA,HUMID,DESERT,82.84022551,174,29.73,NORMAL,8.7
BANANA,HUMID,DESERT,83.00320459,173,29.7,SUNNY,10.2
BANANA,HUMID,DESERT,84.56919326,175,29.67,WINDY,9.6
BANANA,HUMID,DESERT,81.85872947,174,29.64,RAINY,0.7
BANANA,HUMID,DESERT,81.78596776,174,29.61,NORMAL,9.5
BANANA,HUMID,DESERT,81.97927117,175,29.59,SUNNY,11
BANANA,HUMID,DESERT,81.46033732,174,29.56,WINDY,10.5
BANANA,HUMID,DESERT,83.72874389,176,29.53,RAINY,1.5
BANANA,HUMID,SEMI ARID,80.37979919,174,29.51,NORMAL,5.92
BANANA,HUMID,SEMI ARID,82.94682591,173,29.48,SUNNY,7.42
BANANA,HUMID,SEMI ARID,81.05635517,172,29.46,WINDY,6.9
BANANA,HUMID,SEMI ARID,84.96907151,164,29.43,RAINY,0.1
BANANA,HUMID,SEMI ARID,80.54372813,157,29.42,NORMAL,6.92
BANANA,HUMID,SEMI ARID,83.47038318,157,29.4,SUNNY,8.42
BANANA,HUMID,SEMI ARID,81.43321641,172,29.38,WINDY,7.9
BANANA,HUMID,SEMI ARID,81.40633547,164,29.36,RAINY,0.5
BANANA,HUMID,SEMI ARID,81.03569343,182,29.35,NORMAL,7.92
BANANA,HUMID,SEMI ARID,84.1341879,172,29.33,SUNNY,9.42
BANANA,HUMID,SEMI ARID,81.91411159,167,29.31,WINDY,8.9
BANANA,HUMID,SEMI ARID,83.88387074,456,29.3,RAINY,0.8
BANANA,HUMID,SEMI ARID,80.12267476,454,29.29,NORMAL,8.92
BANANA,HUMID,SEMI ARID,83.85642678,376,29.27,SUNNY,10.42
BANANA,HUMID,SEMI ARID,82.81088865,369,29.26,WINDY,9.9
BANANA,HUMID,SEMI ARID,83.46358271,368,29.25,RAINY,0.92
BANANA,HUMID,SEMI HUMID,82.14004101,367,29.24,NORMAL,4.89
BANANA,HUMID,SEMI HUMID,83.3293191,368,29.23,SUNNY,6.39
BANANA,HUMID,SEMI HUMID,84.67353597,368,29.21,WINDY,5.8
BANANA,HUMID,SEMI HUMID,83.59512273,364,29.2,RAINY,0.1
BANANA,HUMID,SEMI HUMID,63.69070564,363,29.18,NORMAL,5.6
BANANA,HUMID,SEMI HUMID,71.57476937,363,29.17,SUNNY,7.1
BANANA,HUMID,SEMI HUMID,71.59351368,363,29.16,WINDY,6.6
BANANA,HUMID,SEMI HUMID,57.68272924,360,29.14,RAINY,0.2
BANANA,HUMID,SEMI HUMID,62.69503871,363,29.13,NORMAL,6.5
BANANA,HUMID,SEMI HUMID,57.80840636,362,29.12,SUNNY,8.1
BANANA,HUMID,SEMI HUMID,66.50415474,364,29.1,WINDY,7.5
BANANA,HUMID,SEMI HUMID,66.6902901,365,29.1,RAINY,0.5
BANANA,HUMID,SEMI HUMID,62.5542482,364,29.08,NORMAL,7.5
BANANA,HUMID,SEMI HUMID,66.78627406,365,29.06,SUNNY,9
BANANA,HUMID,SEMI HUMID,73.4541537,368,29.05,WINDY,8.5
BANANA,HUMID,SEMI HUMID,68.3584573,362,29.04,RAINY,0.8
BANANA,HUMID,HUMID,58.84015925,363,29.02,NORMAL,3.65
BANANA,HUMID,HUMID,65.76816093,363,29,SUNNY,5.15
BANANA,HUMID,HUMID,60.2001687,362,28.99,WINDY,4.65
BANANA,HUMID,HUMID,55.28220433,363,28.98,RAINY,0.1
BANANA,HUMID,HUMID,70.4162444,362,28.96,NORMAL,4.65
BANANA,HUMID,HUMID,65.26185135,367,28.96,SUNNY,6.15
BANANA,HUMID,HUMID,60.1159381,364,28.94,WINDY,5.65
BANANA,HUMID,HUMID,62.89366992,365,28.93,RAINY,0.2
BANANA,HUMID,HUMID,73.80435276,368,28.92,NORMAL,5
BANANA,HUMID,HUMID,71.09445342,362,28.91,SUNNY,6.5
BANANA,HUMID,HUMID,66.65952796,367,28.9,WINDY,6
BANANA,HUMID,HUMID,58.75082029,362,28.89,RAINY,0.3
BANANA,HUMID,HUMID,67.22190688,391,28.87,NORMAL,5.15
BANANA,HUMID,HUMID,68.49835977,323,28.86,SUNNY,6.65
BANANA,HUMID,HUMID,57.48775781,267,28.85,WINDY,6.2
BANANA,HUMID,HUMID,71.50905983,224,28.85,RAINY,0.2
BANANA,WET,DESERT,63.10459626,204,28.94,NORMAL,5.15
BANANA,WET,DESERT,63.4711755,188,29.28,SUNNY,6.65
BANANA,WET,DESERT,63.1621551,183,29.66,WINDY,6.15
BANANA,WET,DESERT,55.53128131,182,29.94,RAINY,0.2
BANANA,WET,DESERT,67.99257471,182,30.14,NORMAL,6.15
BANANA,WET,DESERT,61.89472002,182,30.28,SUNNY,7.65
BANANA,WET,DESERT,65.61418761,181,30.38,WINDY,7.15
BANANA,WET,DESERT,74.089114,179,30.46,RAINY,0.3
BANANA,WET,DESERT,62.35750641,182,30.5,NORMAL,7.15
BANANA,WET,DESERT,59.64024162,181,30.53,SUNNY,8.65
BANANA,WET,DESERT,74.82913698,181,30.55,WINDY,8.1
BANANA,WET,DESERT,74.52600826,180,30.55,RAINY,0.8
BANANA,WET,DESERT,73.13112261,180,30.54,NORMAL,8.15
BANANA,WET,DESERT,70.04556743,178,30.53,SUNNY,9.65
BANANA,WET,DESERT,60.27766379,179,30.51,WINDY,9.15
BANANA,WET,DESERT,57.21025565,179,30.48,RAINY,0.15
BANANA,WET,SEMI ARID,72.85462807,178,30.44,NORMAL,4.37
BANANA,WET,SEMI ARID,69.00128641,180,30.4,SUNNY,5.87
BANANA,WET,SEMI ARID,68.74248334,179,30.36,WINDY,5.3
BANANA,WET,SEMI ARID,56.35606753,179,30.32,RAINY,0.1
BANANA,WET,SEMI ARID,61.89082199,179,30.27,NORMAL,5.3
BANANA,WET,SEMI ARID,65.47050802,181,30.22,SUNNY,6.8
BANANA,WET,SEMI ARID,65.34583901,179,30.18,WINDY,6.3
BANANA,WET,SEMI ARID,56.73426469,179,30.14,RAINY,0.2
BANANA,WET,SEMI ARID,63.91281869,179,30.09,NORMAL,6.3
BANANA,WET,SEMI ARID,64.23580251,179,30.07,SUNNY,7.8
BANANA,WET,SEMI ARID,61.74427165,179,30.03,WINDY,7.3
BANANA,WET,SEMI ARID,61.24500053,178,29.99,RAINY,0.3
BANANA,WET,SEMI ARID,61.91044947,178,29.95,NORMAL,7.2
BANANA,WET,SEMI ARID,56.50768935,179,29.91,SUNNY,8.7
BANANA,WET,SEMI ARID,69.02298571,178,29.87,WINDY,8.2
BANANA,WET,SEMI ARID,65.35549924,178,29.83,RAINY,0.8
BANANA,WET,SEMI HUMID,59.24537979,178,29.8,NORMAL,3.345
BANANA,WET,SEMI HUMID,69.0276233,178,29.76,SUNNY,4.85
BANANA,WET,SEMI HUMID,61.32026065,179,29.73,WINDY,4.4
BANANA,WET,SEMI HUMID,72.89187265,178,29.7,RAINY,0.1
BANANA,WET,SEMI HUMID,69.63481219,180,29.67,NORMAL,4.4
BANANA,WET,SEMI HUMID,59.4375337,168,29.65,SUNNY,5.9
BANANA,WET,SEMI HUMID,68.034493,178,29.62,WINDY,5.4
BANANA,WET,SEMI HUMID,73.58868502,176,29.59,RAINY,0.1
BANANA,WET,SEMI HUMID,59.52193158,178,29.57,NORMAL,5.54
BANANA,WET,SEMI HUMID,61.33450447,177,29.54,SUNNY,7.04
BANANA,WET,SEMI HUMID,68.30578978,177,29.51,WINDY,6.5
BANANA,WET,SEMI HUMID,60.47470519,179,29.49,RAINY,0.2
BANANA,WET,SEMI HUMID,59.21235483,178,29.46,NORMAL,6.52
BANANA,WET,SEMI HUMID,73.62548442,179,29.44,SUNNY,8.02
BANANA,WET,SEMI HUMID,55.64709899,178,29.42,WINDY,7.5
BANANA,WET,SEMI HUMID,65.7420046,177,29.39,RAINY,0.3
BANANA,WET,HUMID,65.77472881,178,29.37,NORMAL,2.06
BANANA,WET,HUMID,60.61494304,177,29.35,SUNNY,3.56
BANANA,WET,HUMID,72.33125523,178,29.34,WINDY,3
BANANA,WET,HUMID,71.59722446,177,29.31,RAINY,0.1
BANANA,WET,HUMID,69.36385721,176,29.29,NORMAL,3
BANANA,WET,HUMID,66.20569924,178,29.27,SUNNY,4.5
BANANA,WET,HUMID,61.55327249,179,29.25,WINDY,4
BANANA,WET,HUMID,55.97732754,178,29.22,RAINY,0.1
BANANA,WET,HUMID,59.24580604,177,29.2,NORMAL,4.1
BANANA,WET,HUMID,65.92195844,193,29.18,SUNNY,5.6
BANANA,WET,HUMID,72.52054555,177,29.17,WINDY,5.1
BANANA,WET,HUMID,63.31801994,176,29.15,RAINY,0.1
BANANA,WET,HUMID,67.816568,179,29.13,NORMAL,5.15
BANANA,WET,HUMID,71.516474,178,29.11,SUNNY,6.65
BANANA,WET,HUMID,63.73849998,178,29.1,WINDY,6.15
BANANA,WET,HUMID,72.61024172,178,29.08,RAINY,0.2
SOYABEAN,DRY,DESERT,71.96246617,177,29.07,NORMAL,6.97
SOYABEAN,DRY,DESERT,61.37879671,178,29.05,SUNNY,8.47
SOYABEAN,DRY,DESERT,59.37147589,178,29.03,WINDY,7.8
SOYABEAN,DRY,DESERT,72.80086137,178,29.02,RAINY,0.2
SOYABEAN,DRY,DESERT,63.24648023,178,29,NORMAL,7.9
SOYABEAN,DRY,DESERT,62.49878458,178,28.99,SUNNY,9.4
SOYABEAN,DRY,DESERT,59.66263104,179,28.97,WINDY,8.9
SOYABEAN,DRY,DESERT,70.74739256,176,28.96,RAINY,0.8
SOYABEAN,DRY,DESERT,16.98861173,178,28.94,NORMAL,8.8
SOYABEAN,DRY,DESERT,17.13159126,177,28.93,SUNNY,10.3
SOYABEAN,DRY,DESERT,15.40589717,176,28.92,WINDY,9.8
SOYABEAN,DRY,DESERT,15.65809214,178,28.9,RAINY,0.8
SOYABEAN,DRY,DESERT,19.56381041,178,28.89,NORMAL,9.95
SOYABEAN,DRY,DESERT,15.40312102,176,28.87,SUNNY,11.45
SOYABEAN,DRY,DESERT,16.60820843,179,28.85,WINDY,10.95
SOYABEAN,DRY,DESERT,18.74926979,178,28.84,RAINY,1.95
SOYABEAN,DRY,SEMI ARID,18.90426935,176,28.82,NORMAL,7.98
SOYABEAN,DRY,SEMI ARID,18.30968112,178,28.81,SUNNY,9.48
SOYABEAN,DRY,SEMI ARID,19.33470387,178,28.79,WINDY,8.9
SOYABEAN,DRY,SEMI ARID,15.22538951,176,28.78,RAINY,0.8
SOYABEAN,DRY,SEMI ARID,14.69765308,177,28.77,NORMAL,8.6
SOYABEAN,DRY,SEMI ARID,19.5161216,177,28.75,SUNNY,10.1
SOYABEAN,DRY,SEMI ARID,14.71070537,176,28.75,WINDY,9.6
SOYABEAN,DRY,SEMI ARID,19.18197264,177,28.74,RAINY,0.6
SOYABEAN,DRY,SEMI ARID,19.8601304,178,28.72,NORMAL,9.8
SOYABEAN,DRY,SEMI ARID,16.39535215,178,28.71,SUNNY,11.3
SOYABEAN,DRY,SEMI ARID,15.7559405,176,28.7,WINDY,10.8
SOYABEAN,DRY,SEMI ARID,14.32313811,176,28.69,RAINY,1.8
SOYABEAN,DRY,SEMI ARID,16.14565756,177,28.68,NORMAL,10.95
SOYABEAN,DRY,SEMI ARID,15.11279612,178,28.66,SUNNY,12.45
SOYABEAN,DRY,SEMI ARID,14.99927489,178,28.65,WINDY,11.8
SOYABEAN,DRY,SEMI ARID,18.43475844,176,28.64,RAINY,2.8
SOYABEAN,DRY,SEMI HUMID,19.22008229,178,28.63,NORMAL,5.53
SOYABEAN,DRY,SEMI HUMID,14.42457525,177,28.62,SUNNY,7.03
SOYABEAN,DRY,SEMI HUMID,16.67921616,177,28.61,WINDY,6.5
SOYABEAN,DRY,SEMI HUMID,18.66725565,177,28.6,RAINY,0.1
SOYABEAN,DRY,SEMI HUMID,17.0662427,177,28.58,NORMAL,6.5
SOYABEAN,DRY,SEMI HUMID,17.93253975,177,28.57,SUNNY,8
SOYABEAN,DRY,SEMI HUMID,14.25803981,176,28.56,WINDY,7.5
SOYABEAN,DRY,SEMI HUMID,15.82069268,176,28.55,RAINY,0.5
SOYABEAN,DRY,SEMI HUMID,19.44225438,176,28.54,NORMAL,7.6
SOYABEAN,DRY,SEMI HUMID,19.09172907,176,28.52,SUNNY,9
SOYABEAN,DRY,SEMI HUMID,16.1074793,177,28.51,WINDY,8.6
SOYABEAN,DRY,SEMI HUMID,16.54314829,176,28.5,RAINY,0.8
SOYABEAN,DRY,SEMI HUMID,17.58406365,176,28.49,NORMAL,8.55
SOYABEAN,DRY,SEMI HUMID,16.17772668,176,28.48,SUNNY,10.05
SOYABEAN,DRY,SEMI HUMID,19.68538502,180,28.51,WINDY,9.5
SOYABEAN,DRY,SEMI HUMID,15.21618225,176,28.62,RAINY,0.55
SOYABEAN,DRY,HUMID,17.80852431,175,28.94,NORMAL,4.51
SOYABEAN,DRY,HUMID,16.89574311,177,29.28,SUNNY,6.01
SOYABEAN,DRY,HUMID,16.63805158,176,29.52,WINDY,5.51
SOYABEAN,DRY,HUMID,17.30457712,448,29.7,RAINY,0.1
SOYABEAN,DRY,HUMID,15.77458129,464,29.84,NORMAL,5.5
SOYABEAN,DRY,HUMID,14.27327988,378,29.93,SUNNY,7
SOYABEAN,DRY,HUMID,18.23490739,367,29.99,WINDY,6.5
SOYABEAN,DRY,HUMID,14.92241479,368,30.03,RAINY,0.2
SOYABEAN,DRY,HUMID,17.26184541,363,30.06,NORMAL,6.5
SOYABEAN,DRY,HUMID,16.96070581,368,30.07,SUNNY,8
SOYABEAN,DRY,HUMID,18.98030507,373,30.07,WINDY,7.5
SOYABEAN,DRY,HUMID,19.63719995,374,30.06,RAINY,0.2
SOYABEAN,DRY,HUMID,15.15405941,371,30.04,NORMAL,7.8
SOYABEAN,DRY,HUMID,15.48083156,369,30.02,SUNNY,9.3
SOYABEAN,DRY,HUMID,14.70085967,369,29.99,WINDY,8.8
SOYABEAN,DRY,HUMID,16.71826572,368,29.96,RAINY,0.8
SOYABEAN,HUMID,DESERT,18.91295403,369,29.93,NORMAL,5.33
SOYABEAN,HUMID,DESERT,17.63879418,370,29.89,SUNNY,6.83
SOYABEAN,HUMID,DESERT,17.86754927,372,29.86,WINDY,6.33
SOYABEAN,HUMID,DESERT,16.02542689,370,29.82,RAINY,0.5
SOYABEAN,HUMID,DESERT,17.41333199,370,29.79,NORMAL,6.2
SOYABEAN,HUMID,DESERT,14.99451145,371,29.77,SUNNY,7.7
SOYABEAN,HUMID,DESERT,14.72115044,370,29.73,WINDY,7.2
SOYABEAN,HUMID,DESERT,17.17260319,368,29.69,RAINY,0.8
SOYABEAN,HUMID,DESERT,18.74943955,369,29.66,NORMAL,7.4
SOYABEAN,HUMID,DESERT,18.71483156,368,29.62,SUNNY,8.9
SOYABEAN,HUMID,DESERT,19.85388984,369,29.59,WINDY,8.4
SOYABEAN,HUMID,DESERT,16.63294455,369,29.55,RAINY,0.8
SOYABEAN,HUMID,DESERT,14.44228303,369,29.52,NORMAL,8.34
SOYABEAN,HUMID,DESERT,15.84572566,368,29.49,SUNNY,9.85
SOYABEAN,HUMID,DESERT,14.2804191,370,29.46,WINDY,7.35
SOYABEAN,HUMID,DESERT,15.85622899,373,29.43,RAINY,0.34
SOYABEAN,HUMID,SEMI ARID,15.83500655,371,29.41,NORMAL,4.71
SOYABEAN,HUMID,SEMI ARID,19.96978871,368,29.38,SUNNY,6.21
SOYABEAN,HUMID,SEMI ARID,18.25142068,368,29.36,WINDY,5.71
SOYABEAN,HUMID,SEMI ARID,17.54024066,370,29.33,RAINY,0.1
SOYABEAN,HUMID,SEMI ARID,14.44008871,368,29.3,NORMAL,5.8
SOYABEAN,HUMID,SEMI ARID,17.85057083,370,29.27,SUNNY,7.3
SOYABEAN,HUMID,SEMI ARID,18.72831993,374,29.25,WINDY,6.8
SOYABEAN,HUMID,SEMI ARID,16.42891834,372,29.22,RAINY,0.2
SOYABEAN,HUMID,SEMI ARID,16.39055394,373,29.2,NORMAL,6.6
SOYABEAN,HUMID,SEMI ARID,14.76014523,373,29.17,SUNNY,8.1
SOYABEAN,HUMID,SEMI ARID,17.44534641,380,29.16,WINDY,7.6
SOYABEAN,HUMID,SEMI ARID,18.09665739,371,29.14,RAINY,0.5
SOYABEAN,HUMID,SEMI ARID,16.06240074,372,29.11,NORMAL,7.9
SOYABEAN,HUMID,SEMI ARID,14.82633099,372,29.09,SUNNY,9.4
SOYABEAN,HUMID,SEMI ARID,16.80472243,371,29.07,WINDY,8.9
SOYABEAN,HUMID,SEMI ARID,18.02235902,373,29.05,RAINY,0.6
SOYABEAN,HUMID,SEMI HUMID,16.41998269,371,29.03,NORMAL,3.9
SOYABEAN,HUMID,SEMI HUMID,14.74071856,369,29.01,SUNNY,5.4
SOYABEAN,HUMID,SEMI HUMID,19.83643308,372,28.99,WINDY,4.9
SOYABEAN,HUMID,SEMI HUMID,15.9362937,369,28.97,RAINY,0.1
SOYABEAN,HUMID,SEMI HUMID,15.57324389,370,28.95,NORMAL,4.9
SOYABEAN,HUMID,SEMI HUMID,17.60756635,370,28.95,SUNNY,6.4
SOYABEAN,HUMID,SEMI HUMID,15.27824066,370,28.93,WINDY,5.9
SOYABEAN,HUMID,SEMI HUMID,18.75626255,371,28.91,RAINY,0.1
SOYABEAN,HUMID,SEMI HUMID,14.33847406,369,28.9,NORMAL,5.8
SOYABEAN,HUMID,SEMI HUMID,19.76182946,368,28.88,SUNNY,7.3
SOYABEAN,HUMID,SEMI HUMID,14.77959596,353,28.87,WINDY,6.8
SOYABEAN,HUMID,SEMI HUMID,15.36143547,316,28.85,RAINY,0.3
SOYABEAN,HUMID,SEMI HUMID,20.59541693,261,28.84,NORMAL,6.7
SOYABEAN,HUMID,SEMI HUMID,18.90705639,216,28.82,SUNNY,8.2
SOYABEAN,HUMID,SEMI HUMID,21.33953114,196,28.81,WINDY,7.7
SOYABEAN,HUMID,SEMI HUMID,24.24045875,181,28.8,RAINY,0.4
SOYABEAN,HUMID,HUMID,23.02251117,176,28.79,NORMAL,2.8
SOYABEAN,HUMID,HUMID,18.77621951,182,28.78,SUNNY,4.3
SOYABEAN,HUMID,HUMID,20.31564139,176,28.77,WINDY,3.8
SOYABEAN,HUMID,HUMID,23.3334788,177,28.76,RAINY,0.1
SOYABEAN,HUMID,HUMID,23.42829938,176,28.75,NORMAL,3.7
SOYABEAN,HUMID,HUMID,23.20591245,217,28.74,SUNNY,5.2
SOYABEAN,HUMID,HUMID,18.28173015,214,28.73,WINDY,4.7
SOYABEAN,HUMID,HUMID,19.87070659,211,28.72,RAINY,0.1
SOYABEAN,HUMID,HUMID,18.67170854,211,28.71,NORMAL,4.9
SOYABEAN,HUMID,HUMID,21.17919701,211,28.7,SUNNY,6.4
SOYABEAN,HUMID,HUMID,18.72479695,211,28.69,WINDY,5.9
SOYABEAN,HUMID,HUMID,24.36314135,211,28.69,RAINY,0.5
SOYABEAN,HUMID,HUMID,20.39659714,212,28.68,NORMAL,5.8
SOYABEAN,HUMID,HUMID,21.21092266,211,28.68,SUNNY,7.3
SOYABEAN,HUMID,HUMID,19.63438599,211,28.67,WINDY,6.8
SOYABEAN,HUMID,HUMID,22.42610972,210,28.66,RAINY,0.3
SOYABEAN,WET,DESERT,23.10538637,210,28.65,NORMAL,4.1
SOYABEAN,WET,DESERT,18.29318436,210,28.64,SUNNY,5.6
SOYABEAN,WET,DESERT,21.07643273,210,28.63,WINDY,5.1
SOYABEAN,WET,DESERT,18.8251973,211,28.63,RAINY,0.1
SOYABEAN,WET,DESERT,21.47324158,210,28.62,NORMAL,5.1
SOYABEAN,WET,DESERT,23.2353604,211,28.6,SUNNY,6.6
SOYABEAN,WET,DESERT,19.2303162,209,28.59,WINDY,6.1
SOYABEAN,WET,DESERT,19.17651433,210,28.58,RAINY,0.4
SOYABEAN,WET,DESERT,18.15302753,210,28.58,NORMAL,6.2
SOYABEAN,WET,DESERT,23.61670065,209,28.57,SUNNY,7.7
SOYABEAN,WET,DESERT,20.81527638,211,28.55,WINDY,7.2
SOYABEAN,WET,DESERT,24.54038287,210,28.54,RAINY,0.5
SOYABEAN,WET,DESERT,20.31871249,210,28.53,NORMAL,7.3
SOYABEAN,WET,DESERT,24.45202552,209,28.52,SUNNY,8.8
SOYABEAN,WET,DESERT,18.37477907,209,28.51,WINDY,8.3
SOYABEAN,WET,DESERT,21.59396123,209,28.5,RAINY,0.8
SOYABEAN,WET,SEMI ARID,24.87304788,210,28.49,NORMAL,3.5
SOYABEAN,WET,SEMI ARID,18.09224048,210,28.48,SUNNY,5
SOYABEAN,WET,SEMI ARID,21.14544088,209,28.47,WINDY,4.5
SOYABEAN,WET,SEMI ARID,19.68751084,210,28.46,RAINY,0.1
SOYABEAN,WET,SEMI ARID,19.7520218,210,28.46,NORMAL,4.6
SOYABEAN,WET,SEMI ARID,24.84207559,208,28.45,SUNNY,6.1
SOYABEAN,WET,SEMI ARID,24.25386207,208,28.44,WINDY,5.6
SOYABEAN,WET,SEMI ARID,23.75560241,210,28.43,RAINY,0.2
SOYABEAN,WET,SEMI ARID,20.70099804,208,28.59,NORMAL,5.7
SOYABEAN,WET,SEMI ARID,18.93146941,208,28.95,SUNNY,7.2
SOYABEAN,WET,SEMI ARID,23.22197648,208,29.37,WINDY,6.7
SOYABEAN,WET,SEMI ARID,21.0278674,210,29.77,RAINY,0.3
SOYABEAN,WET,SEMI ARID,24.96969858,210,30.06,NORMAL,6.6
SOYABEAN,WET,SEMI ARID,18.57086554,209,30.28,SUNNY,8.1
SOYABEAN,WET,SEMI ARID,24.92607153,208,30.44,WINDY,7.6
SOYABEAN,WET,SEMI ARID,19.90790546,428,30.55,RAINY,0.5
SOYABEAN,WET,SEMI HUMID,24.96881755,478,30.6,NORMAL,2.6
SOYABEAN,WET,SEMI HUMID,22.89464642,392,30.66,SUNNY,4.1
SOYABEAN,WET,SEMI HUMID,20.4555596,383,30.7,WINDY,3.6
SOYABEAN,WET,SEMI HUMID,19.38602098,392,30.72,RAINY,0.1
SOYABEAN,WET,SEMI HUMID,22.3104551,378,30.72,NORMAL,3.6
SOYABEAN,WET,SEMI HUMID,21.98879437,379,30.71,SUNNY,5.1
